"original_title","rating","is_successful"
"127 Hours","7.5","1"
"44 Inch Chest","5.8","0"
"Absolute Power","6.7","0"
"Affliction","6.9","0"
"Aladdin","8.0","1"
"Alone in the Dark","2.4","0"
"American Graffiti","7.4","1"
"American Hustle","7.2","1"
"Amour","7.9","1"
"Analyze This","6.7","0"
"The Apartment","8.3","1"
"As Good As It Gets","7.7","1"
"Awakenings","7.8","1"
"Bad Country","5.8","0"
"Basic","6.4","0"
"The Believer","7.1","1"
"Beloved","6.0","0"
"The Best Exotic Marigold Hotel","7.2","1"
"The Big White","6.3","0"
"Blade II","6.7","0"
"Blood and Wine","6.0","0"
"The Bourne Ultimatum","8.0","1"
"Buried","7.0","1"
"Burning Annie","5.5","0"
"Case 39","6.2","0"
"Changeling","7.7","1"
"Chaos","6.4","0"
"Christ Complex","7.1","1"
"The Cider House Rules","7.4","1"
"Clerks","7.7","1"
"Colombiana","6.4","0"
"Coriolanus","6.1","0"
"The Crow","7.5","1"
"Cruel Intentions","6.8","0"
"Dead Poets Society","8.1","1"
"Devil in a Blue Dress","6.8","0"
"Die Hard","8.2","1"
"Election","7.2","1"
"Extract","6.1","0"
"Fantastic Four","5.7","0"
"Field of Dreams","7.5","1"
"Foxcatcher","7.0","1"
"Fright Night","6.4","0"
"Ghost","7.1","1"
"Ghost Rider","5.3","0"
"Go","7.2","1"
"Gran Torino","8.1","1"
"Gremlins","7.3","1"
"Hall Pass","5.9","0"
"Henry Fool","7.1","1"
"High Fidelity","7.4","1"
"How to Train Your Dragon","8.1","1"
"I'll Do Anything","5.5","0"
"Interstellar","8.7","1"
"The Italian Job","7.0","1"
"JFK","8.0","1"
"The Kids Are All Right","7.0","1"
"The Ladykillers","6.2","0"
"The Last of the Mohicans","7.6","1"
"The Life of David Gale","7.5","1"
"Little Nicky","5.3","0"
"Lord of Illusions","6.0","0"
"Machete","6.6","0"
"Margaret","6.5","0"
"Midnight Express","7.5","1"
"Milk","7.5","1"
"Moneyball","7.6","1"
"Monte Carlo","5.8","0"
"New York Minute","5.0","0"
"Next Friday","6.1","0"
"The Next Three Days","7.3","1"
"Ocean's Eleven","7.7","1"
"Office Space","7.6","1"
"Orphan","7.0","1"
"Pineapple Express","6.9","0"
"The Private Life of Sherlock Holmes","7.0","1"
"The Queen","7.3","1"
"The Relic","5.8","0"
"Robin Hood: Prince of Thieves","6.9","0"
"The Roommate","4.8","0"
"Saving Private Ryan","8.6","1"
"Shifty","6.5","0"
"Sleepy Hollow","7.3","1"
"Slumdog Millionaire","8.0","1"
"Source Code","7.5","1"
"Star Trek: Nemesis","6.4","0"
"Tamara Drewe","6.2","0"
"Thunderbirds","4.3","0"
