variant,fold,threshold,n_train,n_test,train_low,train_high,test_low,test_high,accuracy,balanced_accuracy,macro_f1,roc_auc,low_recall,high_recall,pred_low_count,pred_high_count,tn,fp,fn,tp,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,confident_coverage,confident_accuracy,confident_balanced_accuracy,low_threshold,high_threshold
full,1,0.5,498,125,257,241,64,61,0.68,0.6794313524590163,0.6794871794871795,0.765625,0.703125,0.6557377049180327,66,59,45,19,21,40,0.512,0.5,0.3386243386243386,0.392,0.8571428571428571,0.8574999999999999,6.5,7.5
full,2,0.5,498,125,257,241,64,61,0.736,0.7352715163934427,0.7353903393418436,0.8002049180327868,0.765625,0.7049180327868853,67,58,49,15,18,43,0.512,0.5,0.3386243386243386,0.48,0.8,0.7986651835372636,6.5,7.5
full,3,0.5,498,125,256,242,65,60,0.704,0.7019230769230769,0.7020933977455717,0.7405128205128205,0.7538461538461538,0.65,70,55,49,16,21,39,0.52,0.5,0.34210526315789475,0.448,0.8035714285714286,0.8032258064516129,6.5,7.5
full,4,0.5,499,124,257,242,64,60,0.6854838709677419,0.6838541666666667,0.6838182412553122,0.7223958333333333,0.734375,0.6333333333333333,69,55,47,17,22,38,0.5161290322580645,0.5,0.3404255319148936,0.41935483870967744,0.6923076923076923,0.6904761904761905,6.5,7.5
full,5,0.5,499,124,257,242,64,60,0.6693548387096774,0.6666666666666667,0.665680278818965,0.7281249999999999,0.75,0.5833333333333334,73,51,48,16,25,35,0.5161290322580645,0.5,0.3404255319148936,0.4838709677419355,0.7833333333333333,0.7794612794612794,6.5,7.5
full,1,0.5,372,94,131,241,33,61,0.7340425531914894,0.732488822652757,0.7200714711137581,0.7943368107302534,0.7272727272727273,0.7377049180327869,40,54,24,9,16,45,0.648936170212766,0.5,0.3935483870967742,0.4574468085106383,0.8372093023255814,0.810483870967742,6.0,7.5
full,2,0.5,373,93,132,241,32,61,0.7634408602150538,0.7602459016393442,0.7480295566502463,0.8560450819672132,0.75,0.7704918032786885,38,55,24,8,14,47,0.6559139784946236,0.5,0.3961038961038961,0.5053763440860215,0.8936170212765957,0.9011904761904761,6.0,7.5
full,3,0.5,373,93,131,242,33,60,0.6989247311827957,0.6916666666666667,0.682748538011696,0.7500000000000001,0.6666666666666666,0.7166666666666667,39,54,22,11,17,43,0.6451612903225806,0.5,0.39215686274509803,0.5698924731182796,0.8301886792452831,0.835576923076923,6.0,7.5
full,4,0.5,373,93,131,242,33,60,0.6559139784946236,0.6515151515151515,0.640926640926641,0.7237373737373738,0.6363636363636364,0.6666666666666666,41,52,21,12,20,40,0.6451612903225806,0.5,0.39215686274509803,0.46236559139784944,0.7674418604651163,0.7638888888888888,6.0,7.5
full,5,0.5,373,93,131,242,33,60,0.6559139784946236,0.6515151515151515,0.640926640926641,0.7045454545454545,0.6363636363636364,0.6666666666666666,41,52,21,12,20,40,0.6451612903225806,0.5,0.39215686274509803,0.5591397849462365,0.7884615384615384,0.7467320261437909,6.0,7.5
full,1,0.5,221,56,131,90,33,23,0.6964285714285714,0.6831357048748353,0.68424543946932,0.7760210803689064,0.7575757575757576,0.6086956521739131,34,22,25,8,9,14,0.5892857142857143,0.5,0.3707865168539326,0.5,0.7857142857142857,0.78125,6.0,8.0
full,2,0.5,221,56,131,90,33,23,0.7142857142857143,0.6785243741765481,0.6813655761024182,0.8234519104084321,0.8787878787878788,0.4782608695652174,41,15,29,4,12,11,0.5892857142857143,0.5,0.3707865168539326,0.5178571428571429,0.8275862068965517,0.8161764705882353,6.0,8.0
full,3,0.5,222,55,132,90,32,23,0.6909090909090909,0.6732336956521738,0.6754599097535579,0.6956521739130435,0.78125,0.5652173913043478,35,20,25,7,10,13,0.5818181818181818,0.5,0.367816091954023,0.5636363636363636,0.7741935483870968,0.7628205128205128,6.0,8.0
full,4,0.5,222,55,131,91,33,22,0.6545454545454545,0.6363636363636364,0.637278722665741,0.6914600550964186,0.7272727272727273,0.5454545454545454,34,21,24,9,10,12,0.6,0.5,0.375,0.6,0.696969696969697,0.6710526315789473,6.0,8.0
full,5,0.5,222,55,131,91,33,22,0.7454545454545455,0.7196969696969697,0.7250000000000001,0.7382920110192838,0.8484848484848485,0.5909090909090909,37,18,28,5,9,13,0.6,0.5,0.375,0.5454545454545454,0.7333333333333333,0.7194570135746606,6.0,8.0
